"Laikotarpis","Rodiklis","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Kodas","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Pavadinimas","Lyginimas","Matavimo vienetai","Reikšmė"
"2021M09","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.5"
"2021M08","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.0"
"2021M07","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.7"
"2021M06","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.4"
"2021M05","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.2"
"2021M04","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","0.9"
"2021M03","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","0.8"
"2021M02","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","0.8"
"2021M01","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.0"
"2020M12","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.2"
"2020M11","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.4"
"2020M10","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.5"
"2020M09","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.6"
"2020M08","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.7"
"2020M07","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.8"
"2020M06","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","1.9"
"2020M05","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.1"
"2020M04","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.3"
"2020M03","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.4"
"2020M02","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.5"
"2020M01","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","2.4"
